Country Name,Year,GDP,Urbanization Rate,Immigration Rate
Hong Kong,1960,1320796651.69457,85.2,39211.0
Hong Kong,1961,1383681651.13776,85.293,11451.0
Hong Kong,1962,1612346412.26475,85.582,4065.0
Hong Kong,1963,1935298266.45384,85.867,4212.0
Hong Kong,1964,2206466461.26434,86.147,4525.0
Hong Kong,1965,2435078534.03141,86.422,3559.0
Hong Kong,1966,2489845016.64894,86.692,7379.0
Hong Kong,1967,2692474989.12571,86.958,10145.0
Hong Kong,1968,2716964388.42418,87.22,8462.0
Hong Kong,1969,3189740055.13982,87.476,390.0
Hong Kong,1970,3800766535.62088,87.729,-3703.0
Hong Kong,1971,4476001946.01486,88.039,35798.0
Hong Kong,1972,5710090213.15035,88.474,46445.0
Hong Kong,1973,8030117555.62033,88.894,45851.0
Hong Kong,1974,9388695366.84578,89.301,46106.0
Hong Kong,1975,10048089558.0636,89.695,48467.0
Hong Kong,1976,12876366008.8077,90.077,48166.0
Hong Kong,1977,15719433719.4337,90.445,45600.0
Hong Kong,1978,18315136409.1427,90.801,43422.0
Hong Kong,1979,22526184533.17,91.145,53981.0
Hong Kong,1980,28861857810.6515,91.478,53964.0
Hong Kong,1981,31055226088.6943,91.794,31486.0
Hong Kong,1982,32291215843.6433,92.09,26223.0
Hong Kong,1983,29907227184.179,92.376,26102.0
Hong Kong,1984,33511383985.6741,92.653,26853.0
Hong Kong,1985,35699772165.7093,92.92,26327.0
Hong Kong,1986,41075396884.8952,94.248,38734.0
Hong Kong,1987,50622896162.6006,96.86,42155.0
Hong Kong,1988,59707404560.5944,98.309,39031.0
Hong Kong,1989,68790219177.9733,99.094,42354.0
Hong Kong,1990,76928784620.8158,99.517,42265.0
Hong Kong,1991,88959997899.9293,99.832,41059.0
Hong Kong,1992,104272507639.282,99.979,37125.0
Hong Kong,1993,120354212475.0,100.0,34299.0
Hong Kong,1994,135811771026.33,100.0,31030.0
Hong Kong,1995,144652295363.667,100.0,30241.0
Hong Kong,1996,159718183550.734,100.0,70506.0
Hong Kong,1997,177353174849.714,100.0,78095.0
Hong Kong,1998,168885443660.072,100.0,74928.0
Hong Kong,1999,165768095391.557,100.0,68094.0
Hong Kong,2000,171668891194.349,100.0,60719.0
Hong Kong,2001,169404327616.605,100.0,32287.0
Hong Kong,2002,166348866131.028,100.0,21654.0
Hong Kong,2003,161385558801.811,100.0,18790.0
Hong Kong,2004,169099768875.193,100.0,10103.0
Hong Kong,2005,181569311742.213,100.0,75.0
Hong Kong,2006,193535442896.365,100.0,12583.0
Hong Kong,2007,211596944503.8,100.0,31280.0
Hong Kong,2008,219278749139.734,100.0,26820.0
Hong Kong,2009,214047795659.045,100.0,20910.0
Hong Kong,2010,228638668727.291,100.0,10584.0
Hong Kong,2011,248513617677.287,100.0,25348.0
Hong Kong,2012,262628865879.697,100.0,36188.0
Hong Kong,2013,275696879834.966,100.0,24760.0
Hong Kong,2014,291459995978.893,100.0,22372.0
Hong Kong,2015,309385622601.348,100.0,13061.0
Hong Kong,2016,320860317562.562,100.0,0.0
Hong Kong,2017,341273289534.466,100.0,0.0
Hong Kong,2018,361731070995.726,100.0,0.0
Hong Kong,2019,363074545072.389,100.0,0.0
Hong Kong,2020,344943149590.058,100.0,0.0
Hong Kong,2021,368954169748.818,100.0,0.0
Hong Kong,2022,358696261481.16,100.0,19999.0
Hong Kong,2023,382054574298.529,100.0,19999.0
South Korea,1960,3958811881.18812,27.71,23626.0
South Korea,1961,2417628736.52655,28.531,-73471.0
South Korea,1962,2814615384.61538,29.461,-84159.0
South Korea,1963,3988461538.46154,30.407,-73934.0
South Korea,1964,3459019942.79079,31.372,-103826.0
South Korea,1965,3120861498.91442,32.351,-111260.0
South Korea,1966,3929055143.5021,33.347,-16700.0
South Korea,1967,4855892445.82682,34.971,-16500.0
South Korea,1968,6119394892.37109,36.846,-16888.0
South Korea,1969,7678698837.59346,38.756,-21204.0
South Korea,1970,9005144969.11666,40.704,-28035.0
South Korea,1971,9903571248.53268,42.261,-17540.0
South Korea,1972,10862211760.8252,43.692,6187.0
South Korea,1973,13876472208.2678,45.131,5603.0
South Korea,1974,19543973941.3681,46.579,-5223.0
South Korea,1975,21784297520.6612,48.033,-37366.0
South Korea,1976,29902479338.843,49.719,-115546.0
South Korea,1977,38446487603.3058,51.476,-125737.0
South Korea,1978,51972107438.0165,53.233,-138983.0
South Korea,1979,66946900826.4463,54.981,-166968.0
South Korea,1980,65398377597.5108,56.72,-132395.0
South Korea,1981,72933533011.7706,58.407,12782.0
South Korea,1982,78358416171.4889,60.061,35326.0
South Korea,1983,87760553261.9279,61.693,66688.0
South Korea,1984,97510744119.1162,63.301,70940.0
South Korea,1985,101296177099.377,64.876,82082.0
South Korea,1986,116836246284.832,66.679,164516.0
South Korea,1987,147948709376.434,68.563,166109.0
South Korea,1988,199591287824.777,70.389,155682.0
South Korea,1989,246928837311.406,72.148,148363.0
South Korea,1990,283365844161.092,73.844,69252.0
South Korea,1991,330647042837.334,74.972,-279446.0
South Korea,1992,355524903068.056,75.82,-272320.0
South Korea,1993,392665710525.411,76.645,-244650.0
South Korea,1994,463619823515.164,77.452,-235658.0
South Korea,1995,566581003128.204,78.239,-230292.0
